id,id_autor,nome_normalizado,h_index,n_colab_inter,p_colab_inter,d1_A1,d1_A2,d1_A3,d1_A4,d1_B1,d1_B2,d1_B3,d1_B4,d1_C/NI/NP,d1_total,d2_A1,d2_A2,d2_A3,d2_A4,d2_B1,d2_B2,d2_B3,d2_B4,d2_C/NI/NP,d2_total,d3_A1,d3_A2,d3_A3,d3_A4,d3_B1,d3_B2,d3_B3,d3_B4,d3_C/NI/NP,d3-total,d4_A1,d4_A2,d4_A3,d4_A4,d4_B1,d4_B2,d4_B3,d4_B4,d4_C/NI/NP,d4_total,cluster_k2,cluster_k3,cluster_k4
10,28525,MARIA ALICE TAVARES,0,0,0,0,0,0,2,0,0,0,0,18,20,0,6,0,2,1,0,1,1,87,98,3,6,1,4,0,0,0,0,35,49,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster3
11,52240,GEORGE ALEXANDRE FERREIRA DANTAS,0,0,0,0,0,0,0,0,0,0,0,11,11,0,3,0,2,0,0,0,1,29,35,2,2,1,0,0,0,0,0,47,52,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
12,32290,ADRIANA CARLA SILVA DE OLIVEIRA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,12,1,4,0,0,1,0,0,0,25,31,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster3
13,40030,ANGELA LUCIA DE ARAUJO FERREIRA,0,0,0,0,0,0,0,0,0,0,1,26,27,0,12,1,0,0,0,0,1,103,117,1,4,0,0,0,0,0,0,83,88,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster2
14,34291,MARIA DULCE PICANCO BENTES SOBRINHA,0,0,0,0,0,0,0,0,0,0,0,20,20,0,2,0,0,0,0,0,0,35,37,0,0,0,2,0,1,0,0,34,37,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
15,92663,MICHELLE CRISTINE MEDEIROS JACOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,5,3,1,1,5,0,7,55,77,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
16,36274,CELLINA RODRIGUES MUNIZ,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,3,0,18,22,1,2,0,0,0,0,1,1,33,38,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
17,462,DAX FONSECA MORAES PAES NASCIMENTO,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,0,0,1,0,1,2,23,28,0,6,0,2,1,1,0,2,26,38,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
18,42219,MARIA DA CONCEICAO FERRER BOTELHO SGADARI PASSEGGI,0,0,0,0,0,0,0,0,0,1,0,20,21,0,0,0,0,0,0,0,0,188,188,4,7,2,5,1,0,3,3,190,215,0,0,0,0,0,0,0,0,0,0,cluster0,cluster2,cluster2
19,942,HELDER ALEXANDRE MEDEIROS DE MACEDO,0,0,0,0,0,0,0,0,0,0,0,11,11,2,2,0,5,0,0,0,1,124,134,1,0,0,1,0,1,2,1,56,62,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster2
20,46795,CLEIDE EMILIA FAYE PEDROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,98,101,0,4,0,0,1,0,0,0,79,84,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
21,15223,TELMA GURGEL DA SILVA,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,21,21,1,0,0,0,1,0,0,0,27,29,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
22,61577,JOANA DARC FREIRE DE MEDEIROS,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,2,0,0,0,0,0,13,15,0,1,1,0,0,1,0,0,16,19,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
23,986,CLEBER DA SILVEIRA CAMPOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,1,0,0,0,0,0,0,27,30,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
24,52421,JOSE DIONISIO GOMES DA SILVA,0,0,0,0,0,0,0,0,0,0,0,18,18,0,2,0,0,1,1,0,0,58,62,0,9,11,12,6,6,9,21,49,123,0,0,0,0,0,0,0,0,0,0,cluster1,cluster2,cluster2
25,13894,OSVALDO DE GOES BAY JUNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,11,0,0,0,0,3,1,1,1,38,44,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
26,32263,ALEXSANDRO FERREIRA CARDOSO DA SILVA,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,0,0,0,0,0,0,20,27,2,1,1,0,0,0,0,0,29,33,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster2
27,4128,LUCIA DE FATIMA CAMPOS PEDROSA,0,1,1,1,0,0,0,0,0,0,0,30,31,1,0,5,0,1,0,0,0,107,114,7,6,3,3,5,0,1,1,51,77,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster3
28,18143,CARMEM PLACIDA SOUSA CAVALCANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,13,1,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
29,1505,JOAQUIM ADELINO DANTAS DE OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
30,62548,ITAMAR DE MORAIS NOBRE,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,30,31,0,2,4,0,1,12,1,3,96,119,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
31,2444,MARIA APARECIDA PONTES DA FONSECA,0,2,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,25,29,0,0,1,3,4,2,2,1,27,40,1,0,0,0,0,0,0,0,0,1,cluster0,cluster1,cluster1
32,32836,MARIA LUCIA BASTOS ALVES,0,0,0,0,0,0,0,0,0,0,0,14,14,0,1,0,1,0,0,0,0,13,15,0,0,1,1,3,0,2,1,30,38,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
33,18746,DANIEL NELSON MACIEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,1,0,1,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
34,73438,LUCIO ANGELO DE OLIVEIRA FONTES,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
35,23760,HELIO RODRIGUES DOS SANTOS,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,25,26,1,0,0,0,1,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
36,13208,EDU SILVESTRE DE ALBUQUERQUE,0,0,0,0,0,0,1,0,0,0,0,5,6,2,0,0,2,1,1,0,1,51,58,0,2,15,2,4,3,2,1,57,86,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster3
37,33900,TANIA CRISTINA MEIRA GARCIA,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,47,47,0,0,0,1,0,0,0,0,36,37,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
38,37331,REJANE MEDEIROS MILLIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,33,0,1,0,1,3,1,0,11,30,47,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
39,23029,RODOLFO DANIEL DE ALMEIDA SOARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
40,54106,SUENIA SILVA DE MESQUITA XAVIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,1,0,4,26,36,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
41,53942,ALEXANDRO TEIXEIRA GOMES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,23,1,0,0,1,0,1,0,0,24,27,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
42,74689,LUANA JUNQUEIRA DIAS MYRRHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,1,0,0,0,0,0,34,38,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
43,29924,JOAO ABNER GUIMARAES JUNIOR,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,1,0,0,0,2,46,49,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
44,3283,GUSTAVO HENRIQUE DE OLIVEIRA CALDAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,10,12,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
45,53159,JOSE JAILSON DE ALMEIDA JUNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,33,0,1,0,0,0,2,5,5,66,79,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
46,48219,JANAINA DA SILVA ALVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,30,32,0,1,1,3,0,0,2,2,34,43,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
47,77366,LINDIJANE DE SOUZA BENTO ALMEIDA,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,29,29,2,3,4,4,1,0,0,3,62,79,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
48,3908,FRANCISCO FRANSUALDO DE AZEVEDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24,26,3,6,2,3,8,5,8,0,44,79,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
49,74831,MARCIO SALES SANTIAGO,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,3,2,1,1,0,4,0,66,77,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster3
50,32187,ULISSES BORGES SOUTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
51,44696,GABRIEL EDUARDO VITULLO,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,1,0,0,0,34,37,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
52,30109,CLEMILTON LOPES PINHEIRO,0,1,1,0,0,0,0,0,0,0,0,7,7,1,3,0,1,0,0,2,0,36,43,3,3,0,2,3,0,1,1,49,62,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster3
53,10039,RAQUEL MARIA DA COSTA SILVEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,2,51,60,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
54,73387,MARILIA SOUTO DE ARAUJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2,1,3,31,48,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
55,74173,MARIA DAS VITORIAS VIEIRA ALMEIDA DE SA,0,1,1,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,1,0,40,41,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster3
56,59070,ROSIE MARIE NASCIMENTO DE MEDEIROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21,23,2,0,2,0,1,0,4,4,19,32,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
57,35428,GIOVANNA TONETTO SEGANTINI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,3,1,0,1,0,0,5,10,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
58,45005,CESAR AUGUSTO TIBURCIO SILVA,0,0,0,0,0,0,1,0,0,0,0,15,16,0,10,2,2,0,0,1,2,80,97,0,14,7,4,3,9,5,5,26,73,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster3
59,75917,CLAYTON LEVY LIMA DE MELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,2,1,3,1,0,4,19,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
60,44751,HELLYDA DE SOUZA BEZERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,27,33,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
61,11356,SEBASTIAO LEAL FERREIRA VARGAS NETTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,10,0,1,1,0,1,0,0,1,28,32,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
62,66493,JOSE NERES DA SILVA FILHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,1,0,0,0,0,29,30,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
63,77662,KATIA CRISTINA ARAUJO NASCIMENTO DE OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
64,22709,ADRIANO DOS SANTOS,0,1,1,0,0,0,0,0,0,0,0,5,5,1,2,0,0,2,0,0,0,9,14,3,3,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster3
65,70260,MAURICIO WIERING PINTO TELLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15,18,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
66,73109,DIOGO HENRIQUE SILVA DE LIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,24,0,1,1,1,1,2,0,0,13,19,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
67,12191,TARCISIO GOMES FILHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
68,41123,CRISTINA FORONI CONSANI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,1,4,2,0,1,36,58,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
69,12998,SANDI ITAMAR SCHAFER DE SOUZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,16,0,0,0,0,0,0,0,3,33,36,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
70,13187,KLEBER CAVALCANTI CABRAL,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
71,48353,BEATRIZ MARIA SOARES PONTES,0,0,0,0,0,0,0,1,0,0,0,30,31,0,2,0,0,0,0,0,2,43,47,0,0,3,0,8,2,1,0,14,28,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster2
72,15764,LYANE RAMALHO CORTEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,46,50,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
73,63506,GESSICA FABIELY FONSECA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,1,4,0,26,39,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
74,73769,ELZA MARIA DO SOCORRO DUTRA,0,0,0,4,0,0,0,0,0,0,0,14,18,3,0,1,1,1,0,0,1,38,45,2,3,12,2,3,1,0,2,13,38,0,0,0,0,0,0,0,0,0,0,cluster0,cluster1,cluster2
75,64022,MARIA ANGELA PAVAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,1,1,2,0,1,5,0,1,40,51,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
76,85446,JULIANA TEIXEIRA JALES MENESCAL PINTO,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,21,22,0,0,1,0,1,2,2,4,24,34,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
77,72803,JOSE GUILHERME DA SILVA SANTA ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,14,0,1,2,0,2,4,0,1,65,75,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
78,27082,SILVANA PIRILLO RAMOS,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,25,27,1,0,0,0,4,1,6,0,42,54,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
79,59867,KAIO CESAR FERNANDES,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
80,43819,JULIO FRANCISCO DANTAS DE REZENDE,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,2,0,0,0,1,0,43,46,0,0,1,0,1,1,0,1,55,59,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
81,57224,ANTONIO ALVES FILHO,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,22,23,1,0,2,0,2,0,0,0,18,23,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
82,54366,RODOLFO MAIA ROSADO CASCUDO RODRIGUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,7,12,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
83,16639,MARCONIO SILVA DOS SANTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
84,25053,OLAVO FONTES MAGALHAES BESSA,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,11,0,0,2,0,1,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
85,41434,FABIO SOREN PRESGRAVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,25,31,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
86,18473,RUBEN FIGAREDO FERNANDEZ,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,1,0,0,0,60,66,0,0,0,0,0,0,0,0,193,193,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster2
87,23494,JOSETTE LOURDES DE SOUSA MELO,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,1,0,1,0,1,0,116,119,1,0,1,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
88,18872,FERNANDA ARIANE SILVA CARRERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,5,5,1,3,0,0,22,39,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
89,20328,ROBERTO JOSE DE MEDEIROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
90,20460,CRISLANE BARBOSA DE AZEVEDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,66,4,3,12,1,3,0,3,3,53,82,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster2
91,36999,ADERSON JAMIER SANTOS REIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
92,79813,KENNEDY REURISON LOPES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
93,20869,FABIAN ARLEY POSADA BALVIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster3
94,87933,MAHAYANA CRISTINA GODOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,4,1,2,0,1,0,1,9,19,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
95,23407,AZEMAR DOS SANTOS SOARES JUNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,22,1,2,1,1,5,1,0,1,49,61,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
96,29282,JORDI CARMONA HURTADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,9,0,1,3,3,1,1,2,0,25,36,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
97,62246,BRUNO MONTE DE CASTRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
98,30515,FRANCISCO DE ASSIS BANDEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,2,1,0,0,1,0,1,42,47,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
99,34720,CARMEN MARGARIDA OLIVEIRA ALVEAL,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,33,34,4,0,3,0,1,0,0,1,38,47,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
100,65803,MARIA TERESA PIRES COSTA,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,2,2,1,1,0,1,4,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
101,87152,JOAO PAULO MARTINS GUEDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
102,44198,JOAO BOSCO DA SILVA,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
103,67192,FERNANDO LUIZ VECHIATO,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,12,0,7,6,0,2,10,0,0,63,88,0,0,0,0,0,0,0,0,0,0,cluster1,cluster1,cluster3
104,88871,GILSON GOMES DA SILVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,cluster1,cluster0,cluster0
